AREAKEY,AVHHIN1A
34017000100,71583.016
34017000200,53707.842
34017000300,67373.278
34017000400,78444.303
34017000500,63399.459
34017000600,56816.286
34017000700,60153.295
34017000800,77519.569
34017000902,51100.747
34017001000,76946.208
34017001100,72398.920
34017001201,79697.187
34017001202,37594.819
34017001300,67760.724
34017001400,59792.536
34017001701,59104.681
34017001800,36157.982
34017001900,51663.922
34017002000,47551.720
34017002200,72404.534
34017002300,96525.509
34017002400,128116.505
34017002700,56032.017
34017002800,60573.843
34017002900,66279.985
34017003000,45958.887
34017003100,48335.557
34017003500,106732.054
34017004000,78839.761
34017004101,52137.931
34017004102,55715.042
34017004200,48294.044
34017004300,52378.821
34017004400,43296.318
34017004500,62546.589
34017004600,41962.861
34017004700,58360.576
34017004800,81745.599
34017004900,62752.724
34017005200,51193.672
34017005300,71221.781
34017005400,104612.651
34017005500,51904.341
34017005600,55303.965
34017005801,51119.956
34017005802,238191.455
34017005900,88334.652
34017006000,48257.207
34017006100,63866.597
34017006200,49243.419
34017006300,64705.363
34017006400,99901.357
34017006500,76300.932
34017006600,80951.677
34017006700,30150.000
34017006800,41187.434
34017006900,77482.143
34017007000,84323.859
34017007100,66552.310
34017007200,129910.171
34017007300,141197.143
34017007400,192746.667
34017007500,116239.798
34017007600,168962.081
34017007700,138127.446
34017007800,45322.344
34017010100,69739.099
34017010200,67308.716
34017010300,60099.570
34017010400,85766.083
34017010500,78031.320
34017010600,57007.769
34017010700,52133.037
34017010800,80644.944
34017010900,41720.981
34017011000,56491.232
34017011100,52675.765
34017011200,87192.071
34017011300,65566.485
34017011400,75675.588
34017011500,81354.756
34017011600,62921.953
34017012300,63070.569
34017012400,103756.351
34017012500,91660.570
34017012600,72006.072
34017012700,72779.050
34017012800,67478.581
34017012900,67677.303
34017013000,56316.728
34017013100,62058.607
34017013200,52644.056
34017013300,65546.484
34017013400,66895.979
34017013500,59177.764
34017013600,59520.579
34017013700,53213.333
34017013800,62209.428
34017013900,72491.818
34017014000,65330.019
34017014101,121971.937
34017014102,70496.643
34017014200,65263.669
34017014300,68250.141
34017014400,83585.581
34017014501,60018.526
34017014502,28713.797
34017014600,71716.624
34017014700,67803.929
34017014800,57756.162
34017014900,59314.106
34017015001,144082.362
34017015002,42434.288
34017015100,60503.454
34017015201,127514.274
34017015202,63764.095
34017015300,52768.684
34017015500,45311.436
34017015600,48059.794
34017015700,50945.056
34017015801,163384.034
34017015802,48477.595
34017015900,44581.391
34017016000,45208.868
34017016100,43417.907
34017016200,47723.221
34017016300,51993.894
34017016400,47937.816
34017016500,49044.170
34017016600,36747.081
34017016700,43518.826
34017016800,57630.864
34017016900,43849.578
34017017000,46423.187
34017017100,60820.769
34017017200,57479.849
34017017300,61338.737
34017017400,53314.718
34017017500,50262.588
34017017600,51784.577
34017017700,58420.406
34017017800,56821.677
34017017900,178136.777
34017018000,74479.290
34017018100,103837.961
34017018200,82123.385
34017018301,201765.000
34017018302,216929.752
34017018400,165554.726
34017018500,125746.160
34017018600,120040.145
34017018701,197170.130
34017018702,148518.478
34017018800,108065.122
34017018900,107630.374
34017019000,83330.135
34017019100,111392.041
34017019200,194007.370
34017019300,104334.095
34017019400,120008.460
34017019800,107052.265
34017019900,99252.049
34017020000,80348.738
34017020100,165763.333
34017032400,45583.717
34017980100,-999.000
